cwvScore,loadState,invoker,invokeCategory
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
544,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
544,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
544,dom-interactive,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/pages/_templates/standard-article-dcfd7737781025b9.js,_templates
544,dom-interactive,DOMWindow.onDOMContentLoaded,domcument-body-DOMWindow
544,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/chunks/9649-a1f0cd6a77167b36.js,hdm miscellaneous
544,dom-content-loaded,TimerHandler:setTimeout,other
544,dom-content-loaded,https://assets.hearstapps.com/commerce/release/affiliate-bundle.8.2.14.js,other
544,dom-content-loaded,https://cdn.cookielaw.org/scripttemplates/202402.1.0/otBannerSdk.js,other
544,dom-content-loaded,,
544,complete,#document.onclick,domcument-body-DOMWindow
544,complete,#document.onclick,domcument-body-DOMWindow
544,complete,#document.onclick,domcument-body-DOMWindow
544,complete,BODY.onclick,domcument-body-DOMWindow
544,complete,BODY.onclick,domcument-body-DOMWindow
544,complete,BODY.onclick,domcument-body-DOMWindow
544,complete,#document.o,domcument-body-DOMWindow
544,loading,https://www.popularmechanics.com/science/environment/a61585473/single-ancestor-life-earth-luca-discovery/,other
544,loading,https://www.popularmechanics.com/science/environment/a61585473/single-ancestor-life-earth-luca-discovery/,other
544,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/media/cmp.script.a020e6f8.js,hdm miscellaneous
544,dom-content-loaded,FrameRequestCallback,other
544,dom-content-loaded,TimerHandler:setTimeout,other
544,dom-content-loaded,TimerHandler:setTimeout,other
544,dom-content-loaded,TimerHandler:setTimeout,other
544,dom-content-loaded,https://z.moatads.com/hearstmagazinesheader852699793088/moatheader.js,other
544,dom-content-loaded,TimerHandler:setTimeout,other
544,complete,BUTTON.onclick,other
544,dom-content-loaded,https://www.popularmechanics.com/_assets/fre/scopes/hdm/_next/static/media/cmp.script.a020e6f8.js,hdm miscellaneous
